,note,sort,stat,code,fd,name,parent,freq,tb,sdt
199,负债权益比，也称产权比率，即公司负债总额与所有者权益的比值。负债权益比=最近报告期负债合计/最近报告期股东权益合计,124,1,M004015Y,lde,负债权益比,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
200,经营现金流量净额_同比增长率，即本期经营活动产生的现金流量净额相对上年同期的增长百分比。经营现金流量净额_同比增长率YTD=(最近报告期经营现金流量净额-上年同期值)/上年同期绝对值,95,1,M003012Y,opcfg,经营现金流量净额_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
201,归属母公司净利润_同比增长率，即本期归属母公司净利润相对上年同期的增长百分比。归属母公司净利润_同比增长率YTD=(最近报告期归属母公司净利润-上年同期值)/上年同期绝对值,87,1,M003013Y,patmig,归属母公司净利润_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
202,归属母公司股东权益_同比增长率，即本期归属母公司股东权益相对上年同期的增长百分比。归属母公司股东权益__同比增长率=(最近报告期归属母公司股东权益-上年同期值)/上年同期值,100,1,M003010Y,eamig,归属母公司股东权益_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
203,每股净资产_相对年初增长率，即本期期末每股净资产额相对年初值的增长百分比。每股净资产_相对年初增长率=（最近报告期每股净资产-年初值）/年初值；最近报告期每股净资产=最近报告期归属母公司股东的权益／总股本,107,1,M003015Y,f23,每股净资产_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
204,归属母公司股东权益_相对年初增长率，即本期期末归属母公司股东权益值相对年初值的增长百分比。归属母公司股东权益_相对年初增长率=（最近报告期归属母公司股东权益-年初值）/年初值,106,1,M003017Y,f25,归属母公司股东权益_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
205,净利润_3年复合增长率，即当期净利润相对于3年前同期值的复合年增长百分比。净利润_3年复合增长率YTD=（（最近报告期净利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,112,1,M003020Y,f28,净利润_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
206,营业利润_3年复合增长率，即当期营业利润相对于3年前同期值的复合年增长百分比。营业利润_3年复合增长率YTD=（（最近报告期营业利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,110,1,M003022Y,f30,营业利润_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
207,每股收益_3年复合增长率，即当期每股收益相对于3年前同期值的复合年增长百分比。每股收益_3年复合增长率YTD=（（最近报告期每股收益-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近报告期基本每股收益=最近报告期归属于普通股股东的净利润／实际发行在外普通股的加权平均数；实际发行在外普通股的加权平均数=∑(发行在外普通股股数×发行在外月份数)／12,114,1,M003023Y,f31,每股收益_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
208,营业利润率_3年复合增长率，即当期营业利润率相对于3年前同期值的复合年增长百分比。营业利润率_3年复合增长率YTD=（（最近报告期营业利润率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近报告期营业利润率=最近报告期毛利润/最近报告期营业收入,118,1,M003025Y,f33,营业利润率_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
209,营业总收入_3年复合增长率，即当期营业总收入相对于3年前同期值的复合年增长百分比。营业总收入_3年复合增长率YTD=（最近报告期营业总收入/3年前同期值）^(1/3)-1,108,1,M003018Y,f26,营业总收入_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
210,营业总成本_3年复合增长率，即当期营业总成本相对于3年前同期值的复合年增长百分比。营业总成本_3年复合增长率YTD=（最近报告期营业总成本/3年前同期绝对值）^(1/3)-1,109,1,M003019Y,f27,营业总成本_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
211,净资产收益率（平均）_3年复合增长率，即当期净资产收益率相对于3年前同期值的复合年增长百分比。净资产收益率（平均）_3年复合增长率YTD=（（最近报告期净资产收益率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；净资产收益率_平均YTD=最近报告期净利润/平均净资产YTD；平均净资产YTD=（年初股东权益合计+最近报告期股东权益合计）/2,120,1,M003026Y,f34,净资产收益率（平均）_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2011-04-30
212,归属母公司净利润_3年复合增长率，即当期归属母公司净利润相对于3年前同期值的复合年增长百分比。归属母公司净利润_3年复合增长率YTD=（（最近报告期归属母公司净利润-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,113,1,M003021Y,f29,归属母公司净利润_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
213,经营现金流量净额_3年复合增长率，即当期经营现金流量净额相对于3年前同期值的复合年增长百分比。经营现金流量净额_3年复合增长率YTD=（（最近报告期经营现金流量净额-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,121,1,M003024Y,f32,经营现金流量净额_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
214,保守速动比率，即货币资金、交易性金融资产及应收账款与票据总额与流动负债的比率。保守速动比率=（最近报告期货币资金+交易性金融资产+应收账款及票据)/最近报告期流动负债,163,1,M006004Y,f46,保守速动比率YTD,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
215,净资产收益率（平均）_同比增长率，即本期净资产收益率相对上年同期的增长百分比。净资产收益率（平均）_同比增长率YTD=(最近报告期净资产收益率-上年同期值)/上年同期绝对值；净资产收益率_平均YTD=最近报告期净利润/平均净资产YTD；平均净资产YTD=（年初股东权益合计+最近报告期股东权益合计）/2,94,1,M003005Y,f15,净资产收益率（平均）_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2009-04-30
216,总资产净利率（平均）_同比增长率，即本期总资产净利率相对上年同期的增长百分比。总资产净利率（平均）_同比增长率YTD=(最近报告期总资产净利率-上年同期值)/上年同期绝对值；总资产净利率_平均YTD=最近12月净利润/平均总资产YTD；平均总资产YTD=（年初总资产+最近报告期总资产）/2,93,1,M003006Y,f16,总资产净利率（平均）_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2009-04-30
217,应付账款周转率，即应付账款的周转次数，用来反映企业应付账款的流动性和流动负债偿付能力。应付账款周转率YTD=最近报告期主营业务成本/平均应付账款YTD×年化调整系数；平均应付账款YTD=（年初应付账款+最近报告期应付账款）/2,153,1,M005009Y,pto,应付账款周转率YTD,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
218,总资产_同比增长率，即本期总资产相对于上年同期值的增长百分比。总资产_同比增长率=(最近报告期总资产-上年同期值)/上年同期值,96,1,M003027Y,tag,总资产_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
219,营业总收入_同比增长率，即本期营业总收入相对上年同期值的增长百分比。营业总收入_同比增长率YTD=（最近报告期营业总收入-上年同期值）/上年同期值,82,1,M003028Y,revg,营业总收入_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
220,营业总成本，即本期营业总成本相对上年同期的增长百分比。营业总成本_同比增长率YTD=(最近报告期营业总成本-上年同期值)/上年同期值,83,1,M003029Y,f50,营业总成本_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
221,EBITDA_3年复合增长率，即当期EBITDA相对于3年前同期值的复合年增长百分比。EBITDA_3年复合增长率YTD=（（最近报告期EBITDA-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；最近报告期扣除非经常性损益后EBITDA（反推法）=最近报告期税前利润（扣除非经常损益）+利息费用+报告期计提的折旧与摊销,115,1,M003031Y,f52,EBITDA_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
222,毛利率_3年复合增长率，即当期毛利率相对于3年前同期值的复合年增长百分比。毛利率_3年复合增长率YTD=（（最近报告期毛利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,116,1,M003032Y,f53,毛利率_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
223,净利率_3年复合增长率，即当期净利率相对于3年前同期值的复合年增长百分比。净利率_3年复合增长率YTD=（（最近报告期净利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,117,1,M003033Y,f54,净利率_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
224,营业利润率_同比增长率，即本期营业利润率相对上年同期的增长百分比。营业利润率_同比增长率YTD=(最近报告期营业利润率-上年同期值)/上年同期绝对值,92,1,M003034Y,f55,营业利润率_同比增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
225,存货_同比增长率，即本期存货相对上年同期的增长百分比。存货_同比增长率=(最近报告期存货-上年同期值)/上年同期值,97,1,M003035Y,f56,存货_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
226,总债务_同比增长率，即本期总债务相对上年同期的增长百分比。总债务_同比增长率=(最近报告期总债务-上年同期值)/上年同期值；最近报告期总债务=最近报告期短期借款+最近报告期长期借款,99,1,M003036Y,f57,总债务_同比增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
227,存货_相对年初增长率，即本期期末存货量相对年初值的增长百分比。存货_相对年初增长率=（最近报告期存货-年初值）/年初值,103,1,M003037Y,f58,存货_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
228,总债务_相对年初增长率，即本期期末总债务额相对年初值的增长百分比。总债务_相对年初增长率=（最近报告期总债务-年初值）/年初值；最近报告期总债务=最近报告期短期借款+最近报告期长期借款,105,1,M003038Y,f59,总债务_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
229,总负债_相对年初增长率，即本期期末总负债额相对年初值的增长百分比。总负债_相对年初增长率=（最近报告期总负债-年初值）/年初值,104,1,M003039Y,f60,总负债_相对年初增长率,M003,Q,metrics.comm_idx_quant_ytd_his_a,2008-04-30
230,利润总额_3年复合增长率，即当期利润总额相对于3年前同期值的复合年增长百分比。利润总额_3年复合增长率YTD=（（最近报告期利润总额-3年前同期值）/3年前同期绝对值+1）^(1/3)-1,111,1,M003030Y,f51,利润总额_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2010-04-30
231,总资产净利率（平均）_3年复合增长率，即当期总资产净利率相对于3年前同期值的复合年增长百分比。总资产净利率（平均）_3年复合增长率YTD=（（最近报告期总资产净利率-3年前同期值）/3年前同期绝对值+1）^(1/3)-1；总资产净利率_平均YTD=最近12月净利润/平均总资产YTD；平均总资产YTD=（年初总资产+最近报告期总资产）/2,119,1,M003040Y,f61,总资产净利率（平均）_3年复合增长率YTD,M003,Q,metrics.comm_idx_quant_ytd_his_a,2011-04-30
232,债务权益比，即企业债务总额与所有着权益的比值。债务权益比YTD=最近报告期债务总额/最近报告期股东权益；最近报告期总债务=最近报告期短期借款+最近报告期长期借款,125,1,M004022Y,dde,债务权益比,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007-04-30
233,资本固定化率，即固定化资产占公司所有者权益的比例，衡量公司自有资本的固定化程度。资本固定化率LTM=最近报告期非流动资产额/平均股东权益合计LTM；平均股东权益合计LTM=（上年同期股东权益+本期股东权益）/2,129,1,M004016L,f39,资本固定化率LTM,M004,Q,metrics.comm_idx_quant_his_a,2008-04-30
